Origin,Destination,OriginCity,DestinationCity,Passengers,Seats,Flights,Distance,FlyDate,OriginPopulation,DestinationPopulation
MEM,BOS,Memphis-TN,Boston-MA,2794,4968,26,1139,199709,1145788,8460622
STL,JLN,St. Louis-MO,Joplin-MO,18,48,1,251,200210,2733818,160099
RNO,FAT,Reno-NV,Fresno-CA,102,428,4,188,199001,258859,671660
DFW,LRD,Dallas-TX,Laredo-TX,50,66,1,396,199811,9475022,186798
PIT,DAY,Pittsburgh-PA,Dayton-OH,2348,2916,27,215,199903,2404337,857208
OMA,RNO,Omaha-NE,Reno-NV,0,0,4,1262,200711,829183,410616
ORD,PIA,Chicago-IL,Peoria-IL,14,64,1,130,199007,16395048,359221
IND,ATL,Indianapolis-IN,Atlanta-GA,14776,24566,173,432,200304,1600165,4673146
AMA,DFW,Amarillo-TX,Dallas-TX,123,281,2,313,199403,206315,8613622
BOS,EWR,Boston-MA,Newark-NJ,11631,23863,161,200,199410,8293684,17072218
CLT,ORD,Charlotte-NC,Chicago-IL,5017,5986,41,599,199405,1108977,17018756
RDU,ORD,Raleigh-NC,Chicago-IL,3047,5112,36,647,199308,603263,16876600
ATL,ORD,Atlanta-GA,Chicago-IL,78,134,1,606,200109,4432950,18385002
PHL,DTW,Philadelphia-PA,Detroit-MI,1659,3296,32,453,199309,10961072,8711888
PHX,DFW,Phoenix-AZ,Dallas-TX,0,0,5,868,200402,3723359,11379964
BFF,CPR,Scottsbluff-NE,Casper-WY,0,0,19,163,200302,37230,67957
GRB,ORD,Green Bay-WI,Chicago-IL,415,660,10,174,200912,304783,19161134
IAH,DFW,Houston-TX,Dallas-TX,0,0,1,224,200812,5726705,12602170
EKO,PUB,Elko-NV,Pueblo-CO,116,122,1,627,200306,44934,147931
TYS,ATL,Knoxville-TN,Atlanta-GA,93,100,2,152,200703,682143,5267527
DFW,ATL,Dallas-TX,Atlanta-GA,17542,29275,211,732,199512,8787062,3548667
CLE,DFW,Cleveland-OH,Dallas-TX,106,118,1,1021,199201,2122597,8314270
PHL,ITH,Philadelphia-PA,Ithaca-NY,37,100,2,192,200605,11761824,99997
LBB,DAL,Lubbock-TX,Dallas-TX,8886,13054,107,293,200411,261093,11379964
FLL,MIA,Fort Lauderdale-FL,Miami-FL,140,141,1,21,199908,4760522,9521044
PIT,ATL,Pittsburgh-PA,Atlanta-GA,1890,1960,28,526,200807,2355391,5385586
ALB,BUF,Albany-NY,Buffalo-NY,9,38,2,251,200504,846357,1139328
LGA,TUL,New York-NY,Tulsa-OK,67,129,1,1231,200110,36980058,867707
SAT,DFW,San Antonio-TX,Dallas-TX,10365,16428,111,246,199002,1410627,8019250
CMH,BOS,Columbus-OH,Boston-MA,16,50,1,640,200312,1678827,8916374
BOS,MIA,Boston-MA,Miami-FL,27635,34028,181,1258,200605,8946954,10933486
HSV,ORD,Huntsville-AL,Chicago-IL,81,250,5,510,200302,358448,18572324
BDL,ORD,Hartford-CT,Chicago-IL,4928,7465,55,783,200002,1150915,18235464
DFW,ORD,Dallas-TX,Chicago-IL,391,548,3,802,199205,8314270,16720340
BWI,ORD,Baltimore-MD,Chicago-IL,1053,4968,46,621,199101,2410834,16550288
MCI,JLN,Kansas City-MO,Joplin-MO,944,1463,77,149,200704,2011857,171014
MSP,DFW,Minneapolis-MN,Dallas-TX,2898,4147,29,852,199511,2725644,8787062
LAX,DFW,Los Angeles-CA,Dallas-TX,29068,32536,239,1235,200612,25427320,11998822
JFK,DFW,New York-NY,Dallas-TX,80,100,1,1391,200702,37802334,12313304
ALB,TPA,Albany-NY,Tampa-FL,161,274,2,1130,200705,852019,2711222
BDL,ATL,Hartford-CT,Atlanta-GA,809,960,6,859,200908,1195998,5475213
IAH,TPA,Houston-TX,Tampa-FL,167,174,1,787,200507,5299567,2638814
FLL,DFW,Fort Lauderdale-FL,Dallas-TX,143,188,1,1119,199812,4691519,9475022
DFW,TPA,Dallas-TX,Tampa-FL,5882,8344,56,929,200004,10392376,2404273
MCO,MDW,Orlando-FL,Chicago-IL,8657,10549,77,989,200904,2082421,19161134
ACY,DTW,Atlantic City-NJ,Detroit-MI,2156,3687,31,497,199803,237988,8944948
ATL,ORD,Atlanta-GA,Chicago-IL,2141,3379,31,606,200001,4281905,18235464
DAY,ORD,Dayton-OH,Chicago-IL,946,1144,26,240,200807,837036,19031272
MSP,PIA,Minneapolis-MN,Peoria-IL,1572,2584,76,342,199712,2795024,365090
JAN,ATL,Jackson-MS,Atlanta-GA,59,150,1,341,200608,530664,5119641
PIT,EWR,Pittsburgh-PA,Newark-NJ,1585,2700,25,319,200010,2429023,18352743
ABQ,EKO,Albuquerque-NM,Elko-NV,120,122,1,640,200408,780865,44964
