Origin,Destination,OriginCity,DestinationCity,Passengers,Seats,Flights,Distance,FlyDate,OriginPopulation,DestinationPopulation
ABE,ALB,Allentown-PA,Albany-NY,333,969,51,167,200410,776048,843928
AVP,ERI,Scranton-PA,Erie-PA,15,19,1,236,200604,547986,279929
ORD,PIA,Chicago-IL,Peoria-IL,52,142,1,130,199304,16876600,361729
SLC,EWR,Salt Lake City-UT,Newark-NJ,70,180,1,1968,199912,913736,17431724
STL,DAL,St. Louis-MO,Dallas-TX,13,122,1,546,200005,2701634,10392376
ORD,BGR,Chicago-IL,Bangor-ME,0,0,1,978,199710,17405264,145032
ROA,ATL,Roanoke-VA,Atlanta-GA,0,183,1,357,200610,294767,5119641
BTR,ORD,Baton Rouge-LA,Chicago-IL,1157,2420,55,810,200111,709848,18385002
PBG,BOS,Plattsburgh-NY,Boston-MA,3,17,1,201,200710,81865,9007842
MSP,ORD,Minneapolis-MN,Chicago-IL,0,174,1,334,200911,3269814,19161134
GPT,ATL,Gulfport-MS,Atlanta-GA,1801,1980,30,352,200105,248185,4432950
TOL,MDW,Toledo-OH,Chicago-IL,3149,4998,147,205,200210,666252,18490270
MHT,TPA,Manchester-NH,Tampa-FL,2699,3699,27,1204,200811,404074,2730007
IAD,BOS,Washington-DC,Boston-MA,21573,53950,415,413,200003,9642062,8805222
DTW,PIA,Detroit-MI,Peoria-IL,0,0,1,346,200610,8969084,368746
MGM,DFW,Montgomery-AL,Dallas-TX,1589,2750,55,622,200008,347002,10392376
TLH,DFW,Tallahassee-FL,Dallas-TX,1496,2100,42,767,200912,360013,12895230
SNA,AUS,Santa Ana-CA,Austin-TX,88,104,1,1208,200212,12634977,1353176
MYR,BOS,Myrtle Beach-SC,Boston-MA,395,400,8,738,200110,201918,8886620
DFW,MOB,Dallas-TX,Mobile-AL,12,40,1,540,200202,10953156,398417
DLH,DTW,Duluth-MN,Detroit-MI,2071,5382,78,541,199910,267892,8962394
HNL,DTW,Honolulu-HI,Detroit-MI,166,271,1,4475,200101,877189,8958464
SNA,ORD,Santa Ana-CA,Chicago-IL,7884,10374,57,1726,200811,12768395,19031272
LAS,RNO,Las Vegas-NV,Reno-NV,11437,17429,124,345,199310,877917,276956
PIT,DAY,Pittsburgh-PA,Dayton-OH,4026,6386,62,215,199404,2471125,859147
PBI,ATL,West Palm Beach-FL,Atlanta-GA,998,2416,8,545,199408,4373451,3444861
CLT,BUF,Charlotte-NC,Buffalo-NY,5376,6156,57,546,199807,1223835,1151490
DFW,ABI,Dallas-TX,Abilene-TX,53,68,2,158,199706,9231044,153013
CMH,ATL,Columbus-OH,Atlanta-GA,65,76,1,446,200809,1779822,5385586
SEA,AUS,Seattle-WA,Austin-TX,115,139,1,1764,199811,5831556,1104612
STL,MWA,St. Louis-MO,Marion-IL,767,1957,103,100,199604,2642938,60636
SEA,EKO,Seattle-WA,Elko-NV,307,366,3,560,200205,6243790,45640
EWR,TOL,Newark-NJ,Toledo-OH,0,0,10,506,200911,19069796,672220
MEM,TUS,Memphis-TN,Tucson-AZ,0,0,29,1224,200805,1298529,1009832
FYV,DAL,Fayetteville-AR,Dallas-TX,37,50,1,266,200512,413777,11632814
JFK,PIA,New York-NY,Peoria-IL,112,129,1,835,200306,37342640,364769
PNS,ORD,Pensacola-FL,Chicago-IL,115,150,3,794,200805,453132,19031272
MCO,BOS,Orlando-FL,Boston-MA,0,0,1,1121,200211,1756852,8918022
RST,ORD,Rochester-MN,Chicago-IL,6586,9400,188,268,200709,180773,18903872
GFK,BJI,Grand Forks-ND,Bemidji-MN,0,0,23,109,200912,97190,44350
PHL,LAW,Philadelphia-PA,Lawton-OK,122,168,1,1325,200306,11575576,110484
AFW,ORD,Dallas-TX,Chicago-IL,0,0,16,806,200701,12313304,18903872
HOU,ORD,Houston-TX,Chicago-IL,463,540,5,945,199207,3983375,16720340
MSP,MOT,Minneapolis-MN,Minot-ND,80,366,3,449,199104,2581103,66665
BNA,PIA,Nashville-TN,Peoria-IL,44,50,1,353,200408,1416452,366024
BNA,TPA,Nashville-TN,Tampa-FL,362,488,4,612,200608,1489156,2684639
PIA,DAY,Peoria-IL,Dayton-OH,0,0,7,294,200411,366024,845594
EKO,BTM,Elko-NV,Butte-MT,97,122,1,391,200010,46863,34520
DTW,DFW,Detroit-MI,Dallas-TX,758,1680,15,987,199609,8912962,8994450
SAT,ATL,San Antonio-TX,Atlanta-GA,16748,21300,150,874,200104,1743796,4432950
SJC,BOS,San Jose-CA,Boston-MA,113,290,1,2689,199109,1545325,8227986
EAU,EKO,Eau Claire-WI,Elko-NV,121,122,1,1260,200211,150861,45640
DCA,BOS,Washington-DC,Boston-MA,39,141,1,399,199105,8369110,8227986
DSM,PIA,Des Moines-IA,Peoria-IL,0,0,18,216,200404,511589,366024
LEX,MDW,Lexington-KY,Chicago-IL,2268,3808,112,311,200212,419455,18490270
MOB,DFW,Mobile-AL,Dallas-TX,8,64,1,540,199411,395838,8613622
CHS,ATL,Charleston-SC,Atlanta-GA,0,50,1,259,200802,647194,5385586
BHM,ORD,Birmingham-AL,Chicago-IL,123,150,3,584,200808,1123146,19031272
OAK,DAL,Oakland-CA,Dallas-TX,117,137,1,1468,200308,4153143,11164066
LAS,TUL,Las Vegas-NV,Tulsa-OK,485,548,4,1076,200604,1778129,892635
RIC,EWR,Richmond-VA,Newark-NJ,4010,6200,124,278,200802,1227115,18968501
LGA,ATL,New York-NY,Atlanta-GA,100,100,1,761,200602,37651266,5119641
FWA,TOL,Fort Wayne-IN,Toledo-OH,43,142,1,84,199503,363709,651403
SEA,TUS,Seattle-WA,Tucson-AZ,234,248,2,1216,200912,6815696,1020200
CRW,YIP,Charleston-WV,Detroit-MI,0,0,1,286,200509,304426,8988796
EKO,FAT,Elko-NV,Fresno-CA,102,124,1,350,199508,42918,734615
PHL,ERI,Philadelphia-PA,Erie-PA,104,150,3,300,200510,11701242,278933
JAN,ATL,Jackson-MS,Atlanta-GA,0,0,0,341,199901,486914,3988728
ANC,DTW,Anchorage-AK,Detroit-MI,396,403,1,2986,200205,332703,8972134
BDL,ORD,Hartford-CT,Chicago-IL,169,240,2,783,200007,1150915,18235464
LSE,ORD,La Crosse-WI,Chicago-IL,43,74,2,215,200811,131728,19031272
ABQ,ORD,Albuquerque-NM,Chicago-IL,49,70,1,1118,200509,798722,18724160
BOS,ATL,Boston-MA,Atlanta-GA,29618,37751,207,946,199908,8550938,3988728
RDM,EKO,Bend-OR,Elko-NV,74,122,1,362,200511,140962,45801
BPT,ACT,Beaumont-TX,Waco-TX,19,34,1,222,199810,375135,203214
BOS,EWR,Boston-MA,Newark-NJ,48213,74022,525,200,199710,8460622,17264316
AUS,ORD,Austin-TX,Chicago-IL,471,600,4,972,199306,931671,16876600
ORD,MDW,Chicago-IL,Chicago-IL,5,155,1,16,200607,18797710,18797710
MKE,YIP,Milwaukee-WI,Detroit-MI,0,0,3,228,200609,1540301,8969084
LAX,OMA,Los Angeles-CA,Omaha-NE,262,287,1,1330,199907,24181874,748056
BTR,MOB,Baton Rouge-LA,Mobile-AL,54,142,1,174,199603,663438,396444
FWA,CAK,Fort Wayne-IN,Akron-OH,0,50,1,196,200605,406112,700013
SJT,AUS,San Angelo-TX,Austin-TX,0,0,40,186,200508,106662,1464309
HOU,AUS,Houston-TX,Austin-TX,165,535,5,152,199110,3888584,874516
ORD,TUS,Chicago-IL,Tucson-AZ,427,552,4,1437,200301,18572324,903320
LAS,DFW,Las Vegas-NV,Dallas-TX,72,134,1,1055,200304,1572924,11164066
MSY,EWR,New Orleans-LA,Newark-NJ,85,157,1,1167,200712,1109415,18901167
RFD,DFW,Rockford-IL,Dallas-TX,0,0,17,775,200509,338877,11632814
OAK,AUS,Oakland-CA,Austin-TX,281,548,4,1497,200902,4317853,1705075
LBB,DAL,Lubbock-TX,Dallas-TX,2587,4026,33,293,199807,235445,9475022
MSP,MOT,Minneapolis-MN,Minot-ND,22,162,1,449,200801,3237612,63504
PHL,DAY,Philadelphia-PA,Dayton-OH,25,144,1,477,200109,11445082,846089
GPT,MOB,Gulfport-MS,Mobile-AL,42,48,1,53,199707,228466,398229
BWI,TUL,Baltimore-MD,Tulsa-OK,48,137,1,1071,200802,2677712,916037
