Origin,Destination,OriginCity,DestinationCity,Passengers,Seats,Flights,Distance,FlyDate,OriginPopulation,DestinationPopulation
LAX,DTW,Los Angeles-CA,Detroit-MI,178,182,1,1979,200104,25051472,8958464
ABE,ALB,Allentown-PA,Albany-NY,333,969,51,167,200410,776048,843928
AVP,ERI,Scranton-PA,Erie-PA,15,19,1,236,200604,547986,279929
ORD,PIA,Chicago-IL,Peoria-IL,52,142,1,130,199304,16876600,361729
SLC,EWR,Salt Lake City-UT,Newark-NJ,70,180,1,1968,199912,913736,17431724
MSN,ORD,Madison-WI,Chicago-IL,216,256,2,109,199103,443904,16550288
STL,DAL,St. Louis-MO,Dallas-TX,13,122,1,546,200005,2701634,10392376
ORD,DTW,Chicago-IL,Detroit-MI,6804,8340,60,235,199710,17405264,8934802
ORD,PIA,Chicago-IL,Peoria-IL,2847,4550,91,130,200612,18797710,368746
MSP,ORD,Minneapolis-MN,Chicago-IL,416,888,6,334,199611,2760875,17287860
SEA,ORD,Seattle-WA,Chicago-IL,16189,16562,91,1721,200708,6614720,18903872
FLL,MIA,Fort Lauderdale-FL,Miami-FL,484,534,2,21,199707,4623697,9247394
DFW,BOS,Dallas-TX,Boston-MA,137,215,1,1562,199008,8019250,8269386
MSN,ORD,Madison-WI,Chicago-IL,2999,3708,36,109,200005,504044,18235464
ORD,BGR,Chicago-IL,Bangor-ME,0,0,1,978,199710,17405264,145032
SEA,RDM,Seattle-WA,Bend-OR,2187,3922,106,228,200109,6188760,120667
MSY,ATL,New Orleans-LA,Atlanta-GA,6266,9944,88,425,199410,1286646,3444861
MSN,ORD,Madison-WI,Chicago-IL,5846,20874,147,109,199005,433903,16395048
ROA,ATL,Roanoke-VA,Atlanta-GA,0,183,1,357,200610,294767,5119641
SAV,DFW,Savannah-GA,Dallas-TX,2733,4373,31,925,199312,271335,8450926
ORD,DTW,Chicago-IL,Detroit-MI,9108,12441,143,235,200303,18572324,8985512
ATL,DFW,Atlanta-GA,Dallas-TX,0,0,4,732,200605,5119641,11998822
IAH,DFW,Houston-TX,Dallas-TX,3115,4312,44,224,199012,3789490,8019250
BTR,ORD,Baton Rouge-LA,Chicago-IL,1157,2420,55,810,200111,709848,18385002
