id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit
1767,My Bucket's Got A Hole In It,['Louis Armstrong'],222747,12/1/57,1957,0.793,0.524,0.228,0.0,0.21,-9.553,0.0351,80.105,0.34,0,9,16,0
24988,"Sonata No. 3 in E-Flat, Op. 12, No. 3: Adagio con molta espressione","['Ludwig van Beethoven', 'Jascha Heifetz', 'Emanuel Bay']",315667,1948,1948,0.975,0.238,0.0795,0.497,0.271,-22.334,0.042,87.381,0.126,1,0,0,0
11914,Any Kind of Love - Live on U.S. Tour - 1976,['REO Speedwagon'],214533,2/1/77,1977,0.0412,0.391,0.822,0.00162,0.429,-10.866,0.0332,148.637,0.884,1,7,28,0
168874,Animus Vox,['The Glitch Mob'],404080,6/8/10,2010,0.161,0.68,0.533,0.753,0.319,-10.572,0.0391,99.946,0.412,0,10,52,0
40092,Typical Story,['Hobo Johnson'],191069,9/13/19,2019,0.00978,0.421,0.935,0.0,0.165,-2.601,0.438,155.855,0.645,1,7,63,1
21582,Island,['Heather Nova'],380333,1994,1994,0.483,0.488,0.417,0.000749,0.0945,-11.96,0.0297,116.244,0.121,0,9,47,0
55160,몸매 Mommae (feat. Ugly Duck),"['Jay Park', 'Ugly Duck']",204327,11/5/15,2015,0.218,0.745,0.669,0.0,0.104,-5.362,0.242,94.089,0.681,0,9,59,0
96513,Hoja En Blanco,"['Monchy & Alexandra', 'Alexandra']",307200,2/5/07,2007,0.225,0.932,0.772,3.24e-06,0.176,-3.599,0.0369,135.063,0.863,1,0,63,0
95782,You Send Me,['Sam Cooke'],162467,9/26/00,2000,0.915,0.577,0.254,0.0,0.136,-10.13,0.0302,96.77,0.472,0,4,57,0
104117,Nuestro Sueño,['Grupo Niche'],359227,1988,1988,0.675,0.685,0.801,0.00132,0.0906,-10.094,0.0329,90.23,0.738,0,7,58,0
25265,"Verdi : Luisa Miller : Act 2 ""A brani, a brani, o perfido"" [Luisa, Wurm]","['Giuseppe Verdi', 'Mario Rossi', 'Orchestra Sinfonica di Roma della RAI']",93293,1951,1951,0.981,0.418,0.223,0.000218,0.132,-16.482,0.297,105.115,0.228,1,4,0,0
146760,Banua,['The Kingston Trio'],97533,6/1/58,1958,0.682,0.786,0.418,0.0,0.0643,-11.858,0.184,118.7,0.909,1,9,14,0
76612,A Beautiful Mine - Theme Music From Mad Men,['RJD2'],329093,5/2/06,2006,0.294,0.62,0.666,0.907,0.18,-11.865,0.11,114.216,0.0367,1,1,44,0
74333,Old Friends,['Willie Nelson & Roger Miller (with Ray Price)'],207467,4/1/83,1983,0.706,0.589,0.29,0.763,0.108,-15.957,0.031,77.433,0.305,1,9,22,0
